CDB_ID,Nome,Endereço
22,BAR BAMBÚ,"RUA DIVISA NOVA, 670, SALGADO FILHO, BELO HORIZONTE, MG, BRASIL"
23,BAR DA SILVANIA,"RUA SOARES NOGUEIRA, 801, CAMARGOS, BELO HORIZONTE, MG, BRASIL"
24,BAR DO KIM,"PRAÇA APA, 110, JARDIM AMERICA, BELO HORIZONTE, MG, BRASIL"
25,BAR DO PRIMO,"AVENIDA AMAZONAS, 4649, NOVA SUISSA, BELO HORIZONTE, MG, BRASIL"
26,BAR DO REGIS,"RUA GAVEA, 422, NOVA SUISSA, BELO HORIZONTE, MG, BRASIL"
27,BAR DOS MENINOS,"RUA LINDOLFO DEODORO, 503, SALGADO FILHO, BELO HORIZONTE, MG, BRASIL"
28,BAR JUNTO JUNTINHO,"RUA CURA D'ARS, 542, PRADO, BELO HORIZONTE, MG, BRASIL"
29,BARZIN DOS AMIGOS,"RUA LINDOLFO DE AZEVEDO, 1263, JARDIM AMERICA, BELO HORIZONTE, MG, BRASIL"
30,BOOGIE OOGIE,"RUA SANTOS, 264, JARDIM AMERICA, BELO HORIZONTE, MG, BRASIL"
31,BOTEQUIM BURITIS,"RUA VITORIO MAGNAVACCA, 39, BURITIS, BELO HORIZONTE, MG, BRASIL"
32,CANELA AMARELA,"PRAÇA LEONARDO GUTIERREZ, 195, GUTIERREZ, BELO HORIZONTE, MG, BRASIL"
33,CERVEJARIA PAJÉ,"RUA CAPIM BRANCO, 419, VISTA ALEGRE, BELO HORIZONTE, MG, BRASIL"
34,CHOPP DA ESQUINA,"RUA GARRET, 263, NOVA GRANADA, BELO HORIZONTE, MG, BRASIL"
35,ESPETTINHO.COM,"RUA ELI SEABRA FILHO, 510, BURITIS, BELO HORIZONTE, MG, BRASIL"
36,GERALDIN DA CIDA,"RUA CONTRIA, 1459, GRAJAU, BELO HORIZONTE, MG, BRASIL"
37,PÉ DE GOIABA,"AVENIDA AMAZONAS, 4676, NOVA SUISSA, BELO HORIZONTE, MG, BRASIL"
38,PRADO BEER,"AVENIDA FRANCISCO SA, 590, PRADO, BELO HORIZONTE, MG, BRASIL"
39,QUIOXQUE BOTEQUIM CARIOCA,"RUA HENRIQUE BADARO PORTUGAL, 157, BURITIS, BELO HORIZONTE, MG, BRASIL"
40,US MOTOCA,"RUA BLENDA, 91, CAMARGOS, BELO HORIZONTE, MG, BRASIL"
41,BAR DO NELSON,"RUA VICENTE RISOLA, 1000, SANTA INES, BELO HORIZONTE, MG, BRASIL"
42,BAR DU DU,"RUA VIOLETA, 369, ESPLANADA, BELO HORIZONTE, MG, BRASIL"
43,BAR TEMÁTICO STA TERESA,"RUA PIRITE, 187, SANTA TEREZA, BELO HORIZONTE, MG, BRASIL"
44,COSMOS,"RUA VICENTE RISOLA, 1305, SANTA INES, BELO HORIZONTE, MG, BRASIL"
45,IRACEMA BAR,"RUA ALMANDINA, 56, SANTA TEREZA, BELO HORIZONTE, MG, BRASIL"
46,KOQUEIROS BAR,"AVENIDA SILVIANO BRANDAO, 1293, SAGRADA FAMILIA, BELO HORIZONTE, MG, BRASIL"
47,LOCOMOTIVAS BAR,"RUA CARMESIA, 568, SANTA INES, BELO HORIZONTE, MG, BRASIL"
48,QUITANDAS DA TIA NICE BAR,"RUA ALABASTRO, 146, SAGRADA FAMILIA, BELO HORIZONTE, MG, BRASIL"
49,REGIS BAR,"RUA VINTE E OITO DE SETEMBRO, 872, ESPLANADA, BELO HORIZONTE, MG, BRASIL"
50,SANTA BOEMIA,"RUA MARMORE, 534, SANTA TEREZA, BELO HORIZONTE, MG, BRASIL"
51,SILVIO'S BAR,"RUA BEGONIA, 199, ESPLANADA, BELO HORIZONTE, MG, BRASIL"
52,SINHÁ EROZITHA BISTRÔTECO,"RUA SANTO AMARO, 257, SAGRADA FAMILIA, BELO HORIZONTE, MG, BRASIL"
