"Nome","Imagem","Petisco","Descrição do petisco","Endereço"
"Bar Temático Sta Teresa","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050630/tematico_cdb_25desucessoarrumado_bh_2025_rodneycosta_unibh-9084-scaled.jpg","#CDB - 25 anos de sucesso - Arrumado","Carne de sol, feijão de corda, farofa e vinagrete e manteiga de garrafa .","RUA PIRITE, 187, SANTA TEREZA, BELO HORIZONTE, MG, BRASIL"
"Cantinho da Baiana","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19151713/cantinhodabaianamineirounos25_bh_2025_rodneycosta_unibh-8748-scaled.jpg","Mineirou nos 25","Tiras de galeto, envoltas em casquinha crocante de queijo parmesão. Acompanhados por creme de bacon crispy.","AVENIDA ITAITE, 422, SÃO GERALDO, BELO HORIZONTE, MG, BRASIL"
"COSMOS","https://s2-g1.glbimg.com/T7ICQMnz0pBmz14LiRzhJ1ars6I=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/P/G/VvtaR9SfOWa39kXNBVLw/cosmos-meteoroexplosaodesabores-bh-2025-rodneycosta-unibh-7483.jpg","Meteoro - Explosão de sabores","Tiras de picanha, alcatra e maminha ao molho de cerveja preta, com batata tipo chips e creme de alho.","RUA VICENTE RISOLA, 1305, SANTA INES, BELO HORIZONTE, MG, BRASIL"
"Iracema bar","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153541/iracema_harumakidecarnedepanela_bh_2025_fernandaoliveira_unibh-8240-scaled.jpg","Harumaki de Carne de Panela servido com molho picante de cebola caramelizada","Harumaki, também conhecido como rolinho primavera, recheado com uma carne de panela cozida bem devagarinho e cheia de especiarias. Servido com um molho agridoce e picante. Uma explosão de texturas e sabores.","RUA ALMANDINA, 56, SANTA TEREZA, BELO HORIZONTE, MG, BRASIL"
"Koqueiros Bar","https://s2-g1.glbimg.com/UGo8at6j82f5U7oC-O7l5VV2C68=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/C/1/drW6JKTWuGQR4u2DsvrA/koqueiros-duvideimasamei-bh-2025-isaquerodrigues-unibh-7679.jpg","Duvidei, mas amei!","Berinjela empanada e frita servida ao molho à bolonhesa em uma cama de requeijão cremoso, coberta de muçarela. Acompanha pasteizinhos de vento da casa.","AVENIDA SILVIANO BRANDAO, 1293, SAGRADA FAMILIA, BELO HORIZONTE, MG, BRASIL"
"Köbes Emporium Bar","https://s2-g1.glbimg.com/4XFP4bl8cGHl6LMr-DKPBd-beiA=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/Z/M/XCXz9TTUyI9nEcjUxB0Q/kobes-asasdaimaginacao-bh-2025-isaquerodrigues-unibh-7787.jpg","Asas da Imaginação","Asas de porco com molho à moda da casa, sobre purê de batata com açafrão.","RUA PROFESSOR RAIMUNDO NONATO, 31, SANTA TEREZA, BELO HORIZONTE, MG, BRASIL"
"Locomotivas Bar","https://s2-g1.glbimg.com/TQqAlYVssb3uEzvSClqZKmXv4Ak=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/p/O/7movpNRjC5nrug5R9kuQ/locomotivasbar-cumpimembreagadoetrouxa-bh-2025-amandacantanhede-unibh-8315.jpg","CUPIM: Embriagado e trouxa","Trouxinha recheada com cupim marinado na cachaça e queijo canastra, acompanha maionese de alho","RUA CARMESIA, 568, SANTA INES, BELO HORIZONTE, MG, BRASIL"
"Quitandas da Tia Nice Bar","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044911/quitandatianice_queceque_bh_2025_rodneycosta_unibh-7389-2048x1365.jpg","QUÊ SÉ QUÉ!","Disco de Carne Recheada com Provolone","RUA ALABASTRO, 146, SAGRADA FAMILIA, BELO HORIZONTE, MG, BRASIL"
"Regis Bar","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044821/regisbar_trioparadadura_bh_2025_isaquerodrigues_unibh-8785-scaled.jpg","Trio parada dura","Costelinha ao molho de abacaxi com mandioca e cebola","RUA VINTE E OITO DE SETEMBRO, 872, ESPLANADA, BELO HORIZONTE, MG, BRASIL"
"Santa Boemia","https://s2-g1.glbimg.com/joRyFdM_F7vGdyoahrnx6cquiJ4=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/u/V/1xcDOZQ5SYHtErKSW0YA/santaboemia-sextoubb-bh-2025-rodneycosta-unibh-7592.jpg","Sextou BB!","Bolinhos de feijoada, recheados com calabresa e couve, acompanhados de torresminho pururuca, vinagrete da casa, laranja e uma dose de cachaça","RUA MARMORE, 534, SANTA TEREZA, BELO HORIZONTE, MG, BRASIL"
"Silvio's Bar","https://s2-g1.glbimg.com/zaxyrYGi6qblQiL53MdlyoxJS9I=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/Y/f/IzbrtJQt219jCz4qyhLA/silviosbar-frangonia-bh-2025-rodneycosta-unibh-7982.jpg","Frangônia","Coxinha da asa de frango empanado, acompanha batata rústica e molho parmesão e ervas.","RUA BEGONIA, 199, ESPLANADA, BELO HORIZONTE, MG, BRASIL"
"Sinhá Erozitha Bistrôteco","https://s2-g1.glbimg.com/CyJ94456KRwbM_x0X6anDUp20sc=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/0/A/yMwOHGRkOzxeo8WfQlJw/sinhaerozitha-elasquera-bh-2025-isaquerodrigues-unibh-8251.jpg","Êêêê, lasqueira!!!","PANTURRILHA SUÍNA NO SEU MOLHO COM LEGUMES GRELHADOS","RUA SANTO AMARO, 257, SAGRADA FAMILIA, BELO HORIZONTE, MG, BRASIL"
