"Nome","Imagem","Petisco","Descrição do petisco","Endereço"
"Nosso Spetim","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045142/nonospetim_linguadedoisamores_bh_2025_isaquerodrigues_unibh-9340-scaled.jpg","Língua de Dois Amores","língua ao molho madeira, com fatia de pães e um espetinho de medalhão de batata recheada com queijo minas acompanhado de geleia biquinho.","RUA DOS ASTECAS, 3219, SANTA MONICA, BELO HORIZONTE, MG, BRASIL"
"O Fino do Alho","https://comidadibuteco.com.br/wp-content/uploads/2025/03/ofinodoalho_sodeminas_bh_2025_isaquerodrigues_unibh-9054-scaled.jpg","SôdaTerra","Carne de panela, temperada com especiarias, acompanhada de mandioca cozida no suco de beterraba e açafrão finalizada com crispy de bacon e banana da terra .","RUA CAPITAO SERGIO PIRES, 133, MINASCAIXA, BELO HORIZONTE, MG, BRASIL"
"Recanto Vovó Tela","https://s2-g1.glbimg.com/6DfLlBDCXib0XlWwVAFnI_J7_vY=/0x0:2048x1365/1000x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/B/8/MjBx9bSVaBE9AIALl3AQ/recantovovotela-de2510tmj-bh-2025-rodneycosta-unibh-9209-2048x1365.jpg","DE 25 10 TMJ","Picanha Suína assada, marinada em limão pepper e páprica picante, acompanhada de mini cebola empanada, farofa de ervilha e chutney de abacaxi com pimenta dedo de moça.","RUA TENENTE MARINO FREIRE, 270, MARIA HELENA, BELO HORIZONTE, MG, BRASIL"
"Tropeiro do Lisboa","https://s2-g1.glbimg.com/6wp_iOZeeYrBtifB79cXiBiWqkM=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/j/V/A1kiIzRw6ATFfJR8pgOw/tropeirolisboa-caldeiraodomiion-bh-2025-rodneycosta-unibh-7990.jpg","Caldeirão do Mignon","Filé mignon selado, acompanhado de batatas rústicas ao molho da casa.","AVENIDA LEONTINO FRANCISCO ALVES, 506, SERRA VERDE, BELO HORIZONTE, MG, BRASIL"
"Bar do Bem","https://s2-g1.glbimg.com/8G4DuOUOOtTcfO7FhnGirnrduis=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/u/1/VIv5qZTPeOe39fScSPOw/bardobem-furiosa-bh-2025-rodneycosta-unibh-9134.jpg","A Furiosa","Miolo de acém cozido na cerveja e tempero da casa servido com torradas feitas na manteiga e ervas, pão de queijo assado e pastel de vento.","RUA VICENTINA COUTINHO CAMARGOS, 100, ALVARO CAMARGOS, BELO HORIZONTE, MG, BRASIL"
"Benjamin Bar","https://s2-g1.glbimg.com/-HOIprvErwM6J3rLwKbng-Z-Hx0=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/h/V/F03evhQxCJGCopcjvhLA/benjamin-boizimnomilharal-bh-2025-isaquerodrigues-unibh-7748.jpg","Boizinho no milharal","Costela bovina regada no molho roti, acompanhada de quirera de milho com queijo canastra meia cura e milho-verde cozido.","AVENIDA CORONEL JOSE BENJAMIM, 770, PADRE EUSTAQUIO, BELO HORIZONTE, MG, BRASIL"
"Boteco 86","https://s2-g1.glbimg.com/o9wmjsO_tv3OZXfUEI_5d0jBFnI=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/j/u/qr2cyoRxWzxFBQSd0mzQ/boteco86-bolinhonordestino-bh-2025-isaquerodrigues-unibh-7714.jpg","Bolinho Nordestino","Bolinho de aipim com carne seca e requeijão","RUA JACARINA, 86, PADRE EUSTAQUIO, BELO HORIZONTE, MG, BRASIL"
"Cantina Arte Quintal","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19151606/cantinaartequinta_fraudinhaacachacaecerveja_bh_2025_isaquerodrigues_unibh-7690-scaled.jpg","Fraldinha Assada na Cachaça e Cerveja","Fraldinha assada flambada na cachaça e cerveja com calda de maracujá, farofa de alho-poró e banana frita curtida ao bacon","RUA REALENGO, 150, ALTO CAICARAS, BELO HORIZONTE, MG, BRASIL"
"Espetinhos do Paulão","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152839/espetinhodopaulao_vacafaladeira_bh_2025_rodneycosta_unibh-8425-scaled.jpg","Vaca Faladeira","Língua de boi recheada com bacon e cenoura ao molho madeira. Acompanha dois mini pães italianos recheados com vinagrete de tomate, cebola temperado com chimichuri de limão e azeite com muçarela gratinada e manjericão desidratado.","RUA ALVARO MATA, 466, NOVA CACHOEIRINHA, BELO HORIZONTE, MG, BRASIL"
"Mulão","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045206/mulao_mulle_bh_2025_fernandaoliveira_unibh-7464-scaled.jpg","Mullé","Chã de fora recheada com calabresa no molho de cebola caramelizada no açúcar queimado acompanha purê de batatas, pimenta biquinho, cebolinha.","RUA MARAMBAIA, 291, CAICARAS, BELO HORIZONTE, MG, BRASIL"
"Santuário Retrô","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044516/santuarioretro_presentimretro_bh_2025_rodneycosta_unibh-8779-scaled.jpg","Presentim Retrô","Trouxinhas de lombo suculento, marinado por 12 horas no tempero da casa com especiarias, envolto em fatias de bacon e recheado com surpresas inspiradas nos ingredientes das edições históricas do Comida di Buteco.","RUA CAPELA NOVA, 150, MINAS BRASIL, BELO HORIZONTE, MG, BRASIL"
"Tanganica Art Bar","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044450/tanganica_veganocolorido_bh_2025_isaquerodrigues_unibh-7903-scaled.jpg","Vegano colorido","Kibes de beterraba recheados com requeijão vegano, fuxicos de inhame com alho poró, pasteizinhos com recheio de chimeji preto e croquetinhos de abóbora vermelha recheados com ora-pro -móveis.","RUA PADRE DEMERVAL GOMES, 380, CORACAO EUCARISTICO, BELO HORIZONTE, MG, BRASIL"
"The Butcher","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19171820/thebutcher_paneladeprata_bh_2025_rodneycosta_unibh-8006-scaled.jpg","Panela de Prata - 25 anos","Versão do goulash, prato típico húngaro, mas com toque mineiro. Carne ensopada com fatias de pão.","AVENIDA RESSACA, 353, CORACAO EUCARISTICO, BELO HORIZONTE, MG, BRASIL"
"Toninho - Alto Forno","https://s2-g1.glbimg.com/sxmT8ncM81_0GTTD68F8dGl4HUE=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/O/q/KYZNm9QiShpzV5yLX0Jw/toninhoaltoforno-joelhodalili-bh-2025-rodneycosta-unibh-8417.jpg","Joelho da Lili","Joelho de porco ao molho da Lili, acompanhado de polenta com queijo frita e farofa de Neston.","RUA MIRACEMA, 100, SANTO ANDRE, BELO HORIZONTE, MG, BRASIL"
"Xico da Kafua","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044033/xicodacafua_penaareia_bh_2025_rodneycosta_unibh-8478-scaled.jpg","Pé na areia","Mão Suína, acompanhada de farofa crocante de soja tostada com farinha de biju e torradas com azeite.","RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO, 1195, JOAO PINHEIRO, BELO HORIZONTE, MG, BRASIL"
