CDB_ID,NOME,ENDERECO,IMAGEM,PETISCO,DESCRICAO
022,BAR BAMBÚ,"RUA DIVISA NOVA, 670, SALGADO FILHO, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/OmMOS53MitRaLF443hT6x7V2HCc=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/K/9/zVAopmSnm5MJgnxeDKJQ/barbambu-camaraoquedorme-bh-2025-fernandaoliveira-unibh-8355.jpg,Camarão que dorme?,Batata recheada com Strogonoff de camarão.
023,BAR DA SILVANIA,"RUA SOARES NOGUEIRA, 801, CAMARGOS, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/6qRNLbj72tQ_Dow07f6FpFKzxbg=/0x0:2048x1365/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/j/B/o8XOatRyGg4sZt66UhSA/bardasilvania-otrembaumso-bh-2025-rodneycosta-unibh-8183-2048x1365.jpg,Õ trem bão sô,Maçã de peito com mandioquinha e torradas de pão francês.
024,BAR DO KIM,"PRAÇA APA, 110, JARDIM AMERICA, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/-H47IF75563iFLwrEIYvYC4nrCo=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/v/D/PG5HcbT3yJQYOBE5Wymg/bardokim-musculoamodadokim-bh-2025-isaquerodrigues-unibh-9323.jpg,Músculo à moda do Kim,Músculo ao molho madeira com champignon e palmito acompanhado de torradas
025,BAR DO PRIMO,"AVENIDA AMAZONAS, 4649, NOVA SUISSA, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/yU_goSb8fBZKGE8flVLjbm_RebA=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/k/B/bqNLBzRiesSYRqqwnIQQ/primo-costelinhadebuteco-bh-2025-isaquerodrigues-unibh-8526.jpg,Custelinha di Buteco,Costelinha com batata e queijo ao molho branco
026,BAR DO REGIS,"RUA GAVEA, 422, NOVA SUISSA, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/8j-oBYw4AvxsZyj-QsTMpYHTrY4=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/H/l/mdfy8UQryUFiEYJAJDPw/bardoregis-trilhademinas-bh-2025-amandacantanhede-unibh-8270.jpg,Trilhas de Minas,"Almôndegas ao molho de tomates, servida com polenta"
027,BAR DOS MENINOS,"RUA LINDOLFO DEODORO, 503, SALGADO FILHO, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/UKIJMtUtnuPK4fj2w0SuXcIjFvk=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/A/3/UMZKAPSrKx45QAHarWGQ/bardosmeninos-bodasdeprata-bh-2025-rodneycosta-unibh-8218.jpg,Bodas de prata,"Costelinha suína, marinada em vinho tinto servida com mostarda em folhas, acompanhada de creme de batata."
028,BAR JUNTO JUNTINHO,"RUA CURA D'ARS, 542, PRADO, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/Woon-PL_OEZSTAa74c5VFkQykeY=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/E/S/SpB1LBRz2AJN9qaukMEA/barjuntojuntinho-poliamorculinario-bh-2025-rodneycosta-unibh-1725-1-.jpg,POLIAMOR CULINÁRIO,"Costelinha de porco combinada com um purê de mandioca feito com manteiga de garrafa e queijo parmesão, acompanhado de couve couve crispe e geleia de abacaxi apimentada."
029,BARZIN DOS AMIGOS,"RUA LINDOLFO DE AZEVEDO, 1263, JARDIM AMERICA, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/rHsSCU85eg8-jxL3Nl_CO8sjoDY=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/0/O/xOLYXWSRaE0bYdusAuQg/bardosamigos-porpetadebuteco-bh-2025-isaquerodrigues-unibh-7775.jpg,Porpeta de Buteco,Almôndegas ao sugo com batata recheada.
030,BOOGIE OOGIE,"RUA SANTOS, 264, JARDIM AMERICA, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/Lgp1559xLz-uyEV72hpZdFuey6w=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/s/0/8ANFdfRIi7oVHXQG2BFw/booguieoogie-brancodeneveeseteanoes-bh-2025-isaquerodrigues-unibh-9371.jpg,Branca de Neve e os Sete Anões,"ESPETINHOS VARIADOS, FAROFA DE CEBOLA DA CASA ACOMPANHADO DE MOLHO CAMPANHA DE MAÇÃ DA BRUXA LEVEMENTE APIMENTADO."
031,BOTEQUIM BURITIS,"RUA VITORIO MAGNAVACCA, 39, BURITIS, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/I4IKqkM4tVP1NgouGsr5fD0CB08=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/F/s/V4KPPTSz2KNB3tBiXPAw/botequimburitis-butequeiro-bh-2025-isaquerodrigues-unibh-7665.jpg,Butequeiro 25,Lombinho suíno na lata acompanhado de mandioquinha frita ao molho cremoso raiz
