ID_ATIV_ECON_ESTABELECIMENTO,ID_CDB,CNAE_PRINCIPAL,DATA_INICIO_ATIVIDADE,IND_POSSUI_ALVARA,ENDERECO_COMPLETO,NOME,NOME_FANTASIA,GEOMETRIA,COORDS,COORD_GEO
502588,000,5611204.0,2024-11-28,SIM,"RUA JOSE PEDRO DRUMOND, 56, FLORESTA, BELO HORIZONTE, MG, BRASIL",AZT IOTU LTDA,CASA AZEITE,POINT (612078.18 7797267.44),"(-19.9175138, -43.9291629)","(-19.9177154, -43.929164)"
502594,000,5611205.0,2024-11-28,NÃO,"RUA CORREGO DA MATA, 340, SANTA CECILIA, BELO HORIZONTE, MG, BRASIL",58.276.147 VERONICA AMORIM CRUZ,ESTABELECIMENTO SEM NOME,POINT (601313.68 7787881.94),"(-20.0031726, -44.032678)","(-20.003107, -44.0314829)"
502597,000,5611205.0,2024-11-28,NÃO,"RUA QUIARI, 150, SAO GERALDO, BELO HORIZONTE, MG, BRASIL",58.276.193 SILVIA DOS SANTOS FREITAS,ESTABELECIMENTO SEM NOME,POINT (615529.97 7799872.64),"(-19.8939544, -43.8964982)","(-19.8939755, -43.8963521)"
504555,000,5611201.0,2024-12-09,NÃO,"AVENIDA VITORIA, 205, GRANJA WERNECK, BELO HORIZONTE, MG, BRASIL",58.395.792 ANE LOYOLA MIRANDA,ESTABELECIMENTO SEM NOME,POINT (614612.46 7809792.87),"(nan, nan)","(-19.8043985, -43.9057303)"
505178,000,5611201.0,2024-12-12,NÃO,"RUA MATIPO, 120, SANTO ANTONIO, BELO HORIZONTE, MG, BRASIL",58.434.063 JOANNA PALHARES NERY,ESTABELECIMENTO SEM NOME,POINT (610166.52 7793991.61),"(-19.9474174, -43.9453612)","(-19.9474223, -43.9472303)"
500310,000,5611201.0,2024-11-18,NÃO,"AVENIDA CRISTIANO MACHADO, 4000, UNIAO, BELO HORIZONTE, MG, BRASIL",MEXICANA TAQUERIA LTDA,TAQUERIA MEXICANA,POINT (612296.59 7802071.18),"(-19.8743441, -43.9261621)","(-19.8743, -43.9273699)"
500968,000,5611201.0,2024-11-21,NÃO,"RUA SETE DE OUTUBRO, 803, JARDIM DOS COMERCIARIOS, BELO HORIZONTE, MG, BRASIL",58.175.796 SAMARA NATHIELY ALVES DE SOUZA,ESTABELECIMENTO SEM NOME,POINT (607152.33 7811412.56),"(-19.792704, -43.975212)","(-19.7901859, -43.9770411)"
502943,000,5611201.0,2024-12-01,NÃO,"RUA CINCO, 60, JULIANA, BELO HORIZONTE, MG, BRASIL",58.298.721 MATUZALEM DE AGUIAR FERREIRA,ESTABELECIMENTO SEM NOME,POINT (610601.07 7808922.66),"(-19.8124886, -43.9439182)","(-19.8124916, -43.9439725)"
503274,000,5611201.0,2024-12-03,SIM,"RUA ALBERTO CINTRA, 35, UNIAO, BELO HORIZONTE, MG, BRASIL",SUSHI BAR CIDADE NOVA LTDA,SUSHI BAR CIDADE NOVA,POINT (612160.44 7801495.88),"(-19.8845105, -43.9292189)","(-19.8795058, -43.9286353)"
221880,000,5611205.0,2019-06-19,NÃO,"RUA MECA, 166, BETANIA, BELO HORIZONTE, MG, BRASIL",33.982.889 ANA CLARA SILVA FERREIRA,ANA CLARA,POINT (605255.94 7792270.85),"(-19.9633913, -43.9943304)","(-19.9632419, -43.9940526)"
221882,000,5611204.0,2019-06-19,NÃO,"RUA BENEDITO ANICETO DE OLIVEIRA, 387, JARDIM DOS COMERCIARIOS, BELO HORIZONTE, MG, BRASIL",RITA CORDEIRO OTONI 00356790690,BROTEGOS BAR,POINT (608402.97 7810923.48),"(-19.7958597, -43.9648894)","(-19.7945362, -43.9650744)"
222195,000,5611204.0,2019-06-25,NÃO,"RUA PADRE CANDINHO, 111, VILA TIRADENTES, BELO HORIZONTE, MG, BRASIL",MARCOS HENRIQUE OLIVEIRA NETTO 01969639660,BAR DO 700,POINT (610820.67 7799476.35),"(nan, nan)","(-19.8978293, -43.9413099)"
222506,000,5611201.0,2019-06-26,NÃO,"AVENIDA DJALMA VIEIRA CRISTO, 235, MANGUEIRAS, BELO HORIZONTE, MG, BRASIL",RAEL JUNIO GOMES DOS SANTOS 13802007689,RAEL JUNIO GOMES DOS SANTOS,POINT (600884.26 7786970.35),"(-20.0100726, -44.0393136)","(-20.011366, -44.0355374)"
222829,000,5611201.0,2019-07-01,NÃO,"AVENIDA AMAZONAS, 885, CENTRO, BELO HORIZONTE, MG, BRASIL",ROZIMAR BATISTA CORDEIRO 02638866628,CANTINA DE TIA ROSE,POINT (610683.49 7796867.60),"(-19.9217044, -43.9431091)","(-19.9214077, -43.9424636)"
223493,000,5611201.0,2019-07-05,NÃO,"RUA ISABEL, 5, SAO JORGE II, BELO HORIZONTE, MG, BRASIL",34.134.979 CLEITON RODRIGUES BATISTA,MOTO EXPRESSO RODRIGUES E EMPREENDIMENTOS,POINT (608548.53 7794582.75),"(nan, nan)","(-19.9421721, -43.9627251)"
223496,000,5611205.0,2019-07-05,NÃO,"RUA ITAMAR, 600, ALTO VERA CRUZ, BELO HORIZONTE, MG, BRASIL",MARIA DE FATIMA FERREIRA 98015575672,BAR E MERCEARIA ELSHADAY,POINT (616322.00 7798227.36),"(-19.9110958, -43.8883523)","(-19.9087936, -43.8886832)"
223506,000,5611201.0,2019-07-06,NÃO,"RUA JOSE DUTRA DE ARAUJO, 30, JARDIM FELICIDADE, BELO HORIZONTE, MG, BRASIL",ARIANA LOURENCO BRAZ 14348266603,MP LANCHES,POINT (612453.93 7806919.68),"(-19.8304002, -43.9256549)","(-19.8304836, -43.926162)"
